Name,Code
ALPINE,646
ARARAT,653
BALLARAT,612
BANYULE,392
BASS COAST,352
BAW BAW,664
BAYSIDE,307
BENALLA ,618
BOROONDARA,540
BRIMBANK,661
BULOKE,649
CAMPASPE,631
CARDINIA,548
CASEY,549
CENTRAL GOLDFIELDS,648
COLAC OTWAY,582
CORANGAMITE,475
DAREBIN,502
EAST GIPPSLAND ,466
FRANKSTON,481
FRENCH ISLANDS,420
GANNAWARRA,650
GLEN EIRA,281
GLENELG,662
GOLDEN PLAINS,484
GREATER BENDIGO,626
GREATER DANDENONG,283
GREATER GEELONG,610
GREATER SHEPPARTON,576
HEPBURN,643
HINDMARSH,562
HOBSONS BAY,533
HORSHAM,659
HUME,660
INDIGO ,492
KINGSTON,480
KNOX,542
LATROBE,625
LODDON,632
MACEDON RANGES,652
MANNINGHAM,538
MANSFIELD ,639
MARIBYRNONG,531
MAROONDAH,504
MELBOURNE,580
MELTON,667
MILDURA,630
MITCHELL,666
MOIRA,491
MONASH,543
MOONEE VALLEY,634
MOORABOOL,615
MORELAND,633
MORNINGTON PENINSULA,651
MOUNT ALEXANDER,644
MOYNE,655
MURRINDINDI,554
NILLUMBIK,596
NORTHERN GRAMPIANS,657
PORT PHILLIP,581
PYRENEES,658
SOUTH GIPPSLAND ,665
SOUTHERN GRAMPIANS,654
STONNINGTON,553
STRATHBOGIE,619
SURF COAST,583
SWAN HILL,586
TOWONG ,410
WANGARATTA,638
WELLINGTON,621
WEST WIMMERA,522
WHITTLESEA,663
WHITEHORSE,539
WODONGA,493
WYNDHAM,624
YARRA,552
YARRA RANGES,503
YARRIAMBIACK,656
QUEENSCLIFFE ,413
